date,consommation_brute_electricite_rte
2013-01-01,5400.617021276596
2013-01-02,6428.8125
2013-01-03,6664.75
2013-01-04,6666.875
2013-01-05,6213.104166666667
2013-01-06,5899.541666666667
2013-01-07,6813.291666666667
2013-01-08,7241.3125
2013-01-09,7357.208333333333
2013-01-10,7302.604166666667
2013-01-11,7432.666666666667
2013-01-12,7052.0
2013-01-13,6901.125
2013-01-14,8066.291666666667
2013-01-15,8129.270833333333
2013-01-16,8286.666666666666
2013-01-17,8710.104166666666
2013-01-18,8643.166666666666
2013-01-19,7851.395833333333
2013-01-20,7599.395833333333
2013-01-21,7981.75
2013-01-22,8330.895833333334
2013-01-23,8240.5
2013-01-24,8287.708333333334
2013-01-25,8665.416666666666
2013-01-26,7938.291666666667
2013-01-27,7138.875
2013-01-28,7547.8125
2013-01-29,7365.5625
2013-01-30,7008.854166666667
2013-01-31,7289.104166666667
2013-02-01,7244.5
2013-02-02,6874.166666666667
2013-02-03,6737.854166666667
2013-02-04,7107.479166666667
2013-02-05,7485.8125
2013-02-06,7775.875
2013-02-07,7872.729166666667
2013-02-08,7653.375
2013-02-09,7327.666666666667
2013-02-10,7159.354166666667
2013-02-11,7754.020833333333
2013-02-12,7902.791666666667
2013-02-13,7970.1875
2013-02-14,8147.854166666667
2013-02-15,7403.875
2013-02-16,6727.083333333333
2013-02-17,6402.479166666667
2013-02-18,7159.166666666667
2013-02-19,7457.729166666667
2013-02-20,7456.916666666667
2013-02-21,7954.125
2013-02-22,8050.791666666667
2013-02-23,7698.729166666667
2013-02-24,7258.25
2013-02-25,7713.979166666667
2013-02-26,7722.75
2013-02-27,7754.666666666667
2013-02-28,7827.020833333333
2013-03-01,7726.541666666667
2013-03-02,7131.9375
2013-03-03,6633.9375
2013-03-04,7133.458333333333
2013-03-05,6846.3125
2013-03-06,6559.4375
2013-03-07,6535.5625
2013-03-08,6586.354166666667
2013-03-09,6034.666666666667
2013-03-10,6150.541666666667
2013-03-11,7665.520833333333
2013-03-12,7820.104166666667
2013-03-13,7884.916666666667
2013-03-14,7799.604166666667
2013-03-15,7836.583333333333
2013-03-16,7037.791666666667
2013-03-17,6350.354166666667
2013-03-18,7177.1875
2013-03-19,7175.041666666667
2013-03-20,7354.708333333333
2013-03-21,7314.895833333333
2013-03-22,7109.5625
2013-03-23,6560.666666666667
2013-03-24,6486.1875
2013-03-25,7300.9375
2013-03-26,7386.395833333333
2013-03-27,7255.75
2013-03-28,7125.75
2013-03-29,7236.9375
2013-03-30,6803.125
2013-03-31,6534.145833333333
2013-04-01,6484.145833333333
2013-04-02,7077.645833333333
2013-04-03,7343.416666666667
2013-04-04,7277.291666666667
2013-04-05,7292.0
2013-04-06,6609.395833333333
2013-04-07,6012.0625
2013-04-08,6503.958333333333
2013-04-09,6635.8125
2013-04-10,6583.729166666667
2013-04-11,6410.666666666667
2013-04-12,6258.291666666667
2013-04-13,5576.895833333333
2013-04-14,4836.166666666667
2013-04-15,5393.041666666667
2013-04-16,5792.4375
2013-04-17,5647.25
2013-04-18,5619.770833333333
2013-04-19,5885.645833333333
2013-04-20,5319.645833333333
2013-04-21,4991.145833333333
2013-04-22,5660.375
2013-04-23,5852.3125
2013-04-24,5884.9375
2013-04-25,5625.729166666667
2013-04-26,5784.958333333333
2013-04-27,5511.666666666667
2013-04-28,5253.208333333333
2013-04-29,5962.333333333333
2013-04-30,6016.041666666667
2013-05-01,4994.791666666667
2013-05-02,5694.416666666667
2013-05-03,5765.791666666667
2013-05-04,5170.4375
2013-05-05,4726.354166666667
2013-05-06,5381.270833333333
2013-05-07,5431.020833333333
2013-05-08,4835.208333333333
2013-05-09,4685.604166666667
2013-05-10,5027.020833333333
2013-05-11,4968.833333333333
2013-05-12,4795.354166666667
2013-05-13,5674.416666666667
2013-05-14,5932.375
2013-05-15,5816.375
2013-05-16,5933.520833333333
2013-05-17,6016.708333333333
2013-05-18,5304.75
2013-05-19,4925.520833333333
2013-05-20,5241.375
2013-05-21,6050.916666666667
2013-05-22,6100.0625
2013-05-23,6175.083333333333
2013-05-24,6457.291666666667
2013-05-25,5606.541666666667
2013-05-26,5062.895833333333
2013-05-27,5591.979166666667
2013-05-28,5800.520833333333
2013-05-29,5976.833333333333
2013-05-30,6045.666666666667
2013-05-31,5882.770833333333
2013-06-01,5127.875
2013-06-02,4602.416666666667
2013-06-03,5412.104166666667
2013-06-04,5552.958333333333
2013-06-05,5464.791666666667
2013-06-06,5409.791666666667
2013-06-07,5342.125
2013-06-08,4764.291666666667
2013-06-09,4420.0
2013-06-10,5150.770833333333
2013-06-11,5325.041666666667
2013-06-12,5347.270833333333
2013-06-13,5340.958333333333
2013-06-14,5331.104166666667
2013-06-15,4835.979166666667
2013-06-16,4397.479166666667
2013-06-17,5146.229166666667
2013-06-18,5279.916666666667
2013-06-19,5358.104166666667
2013-06-20,5333.270833333333
2013-06-21,5342.4375
2013-06-22,4836.875
2013-06-23,4535.416666666667
2013-06-24,5233.520833333333
2013-06-25,5329.854166666667
2013-06-26,5432.979166666667
2013-06-27,5436.020833333333
2013-06-28,5444.729166666667
2013-06-29,4857.270833333333
2013-06-30,4491.520833333333
2013-07-01,5198.0
2013-07-02,5391.145833333333
2013-07-03,5439.3125
2013-07-04,5423.854166666667
2013-07-05,5436.041666666667
2013-07-06,4789.666666666667
2013-07-07,4416.75
2013-07-08,5133.4375
2013-07-09,5345.375
2013-07-10,5415.0
2013-07-11,5364.083333333333
2013-07-12,5270.354166666667
2013-07-13,4773.854166666667
2013-07-14,4361.083333333333
2013-07-15,5134.208333333333
2013-07-16,5227.354166666667
2013-07-17,5225.125
2013-07-18,5258.6875
2013-07-19,5236.3125
2013-07-20,4702.458333333333
2013-07-21,4348.1875
2013-07-22,5091.104166666667
2013-07-23,5332.4375
2013-07-24,5249.229166666667
2013-07-25,5256.479166666667
2013-07-26,5120.916666666667
2013-07-27,4535.020833333333
2013-07-28,4133.104166666667
2013-07-29,4731.625
2013-07-30,4869.229166666667
2013-07-31,4783.875
2013-08-01,4878.020833333333
2013-08-02,4816.645833333333
2013-08-03,4313.270833333333
2013-08-04,4025.5833333333335
2013-08-05,4444.5625
2013-08-06,4508.291666666667
2013-08-07,4475.979166666667
2013-08-08,4395.770833333333
2013-08-09,4411.583333333333
2013-08-10,4050.5
2013-08-11,3828.4375
2013-08-12,4297.791666666667
2013-08-13,4374.145833333333
2013-08-14,4412.1875
2013-08-15,4119.458333333333
2013-08-16,4327.916666666667
2013-08-17,4230.979166666667
2013-08-18,4014.8541666666665
2013-08-19,4446.083333333333
2013-08-20,4641.541666666667
2013-08-21,4730.791666666667
2013-08-22,4796.333333333333
2013-08-23,4817.916666666667
2013-08-24,4512.125
2013-08-25,4194.395833333333
2013-08-26,4846.25
2013-08-27,5067.270833333333
2013-08-28,5127.4375
2013-08-29,5218.416666666667
2013-08-30,5133.333333333333
2013-08-31,4564.666666666667
2013-09-01,4211.333333333333
2013-09-02,5011.520833333333
2013-09-03,5329.1875
2013-09-04,5425.791666666667
2013-09-05,5391.854166666667
2013-09-06,5328.958333333333
2013-09-07,4688.875
2013-09-08,4358.541666666667
2013-09-09,5146.541666666667
2013-09-10,5375.979166666667
2013-09-11,5545.791666666667
2013-09-12,5572.583333333333
2013-09-13,5601.041666666667
2013-09-14,5003.041666666667
2013-09-15,4615.958333333333
2013-09-16,5338.520833333333
2013-09-17,5735.166666666667
2013-09-18,5675.291666666667
2013-09-19,5682.125
2013-09-20,5505.291666666667
2013-09-21,4870.854166666667
2013-09-22,4496.020833333333
2013-09-23,5260.854166666667
2013-09-24,5466.020833333333
2013-09-25,5477.145833333333
2013-09-26,5481.791666666667
2013-09-27,5492.395833333333
2013-09-28,4905.020833333333
2013-09-29,4568.416666666667
2013-09-30,5309.333333333333
2013-10-01,5594.479166666667
2013-10-02,5688.5
2013-10-03,5640.020833333333
2013-10-04,5590.354166666667
2013-10-05,4954.625
2013-10-06,4619.604166666667
2013-10-07,5306.0
2013-10-08,5545.958333333333
2013-10-09,5637.958333333333
2013-10-10,5999.270833333333
2013-10-11,6178.645833333333
2013-10-12,5586.729166666667
2013-10-13,5475.5625
2013-10-14,6175.145833333333
2013-10-15,6200.729166666667
2013-10-16,6446.583333333333
2013-10-17,6188.583333333333
2013-10-18,6092.479166666667
2013-10-19,5429.4375
2013-10-20,4967.604166666667
2013-10-21,5625.270833333333
2013-10-22,5715.791666666667
2013-10-23,5738.4375
2013-10-24,5853.208333333333
2013-10-25,5834.791666666667
2013-10-26,5112.333333333333
2013-10-27,4903.770833333333
2013-10-28,5830.791666666667
2013-10-29,6232.104166666667
2013-10-30,6352.895833333333
2013-10-31,6299.4375
2013-11-01,5595.8125
2013-11-02,5509.0
2013-11-03,5489.166666666667
2013-11-04,6380.020833333333
2013-11-05,6911.25
2013-11-06,6674.041666666667
2013-11-07,6466.458333333333
2013-11-08,6441.979166666667
2013-11-09,5982.229166666667
2013-11-10,5697.520833333333
2013-11-11,6043.4375
2013-11-12,6775.979166666667
2013-11-13,6854.125
2013-11-14,7110.104166666667
2013-11-15,6945.5
2013-11-16,6454.625
2013-11-17,6084.270833333333
2013-11-18,6949.708333333333
2013-11-19,7116.666666666667
2013-11-20,7484.020833333333
2013-11-21,7601.229166666667
2013-11-22,7576.479166666667
2013-11-23,6761.375
2013-11-24,6303.520833333333
2013-11-25,7043.270833333333
2013-11-26,7260.0
2013-11-27,7235.416666666667
2013-11-28,7363.833333333333
2013-11-29,7199.291666666667
2013-11-30,6510.4375
2013-12-01,6153.854166666667
2013-12-02,6945.979166666667
2013-12-03,7559.583333333333
2013-12-04,7632.958333333333
2013-12-05,7624.145833333333
2013-12-06,7498.145833333333
2013-12-07,6618.645833333333
2013-12-08,6210.3125
2013-12-09,7256.895833333333
2013-12-10,7628.5625
2013-12-11,7835.5625
2013-12-12,8156.833333333333
2013-12-13,7998.041666666667
2013-12-14,6968.291666666667
2013-12-15,6525.333333333333
2013-12-16,7188.125
2013-12-17,7321.708333333333
2013-12-18,7218.25
2013-12-19,7128.979166666667
2013-12-20,7166.75
2013-12-21,6733.208333333333
2013-12-22,6252.104166666667
2013-12-23,6534.958333333333
2013-12-24,6101.208333333333
2013-12-25,5394.666666666667
2013-12-26,6081.75
2013-12-27,6310.583333333333
2013-12-28,5917.75
2013-12-29,5892.9375
2013-12-30,6522.5
2013-12-31,6235.541666666667
2014-01-01,5801.354166666667
2014-01-02,6271.729166666667
2014-01-03,6535.625
2014-01-04,6336.666666666667
2014-01-05,6215.5625
2014-01-06,6726.375
2014-01-07,6854.0625
2014-01-08,6874.645833333333
2014-01-09,6970.625
2014-01-10,7239.875
2014-01-11,6628.583333333333
2014-01-12,6706.958333333333
2014-01-13,7161.791666666667
2014-01-14,7423.458333333333
2014-01-15,7635.416666666667
2014-01-16,7330.3125
2014-01-17,7320.479166666667
2014-01-18,6662.395833333333
2014-01-19,6203.729166666667
2014-01-20,7188.875
2014-01-21,7558.583333333333
2014-01-22,7746.1875
2014-01-23,7475.666666666667
2014-01-24,7428.020833333333
2014-01-25,6893.625
2014-01-26,6569.354166666667
2014-01-27,7498.729166666667
2014-01-28,7723.4375
2014-01-29,7679.104166666667
2014-01-30,7417.395833333333
2014-01-31,7524.9375
2014-02-01,6791.125
2014-02-02,6446.3125
2014-02-03,7165.6875
2014-02-04,7256.25
2014-02-05,7471.083333333333
2014-02-06,7487.395833333333
