ID;Date;Code INSEE région;Région;TMin (°C);TMax (°C);TMoy (°C)
2020-08-14T00:00:00-32;2020-08-14;32;Hauts-de-France;18.92;23.4;21.16
2020-08-15T00:00:00-32;2020-08-15;32;Hauts-de-France;18.36;24.84;21.6
2020-08-21T00:00:00-32;2020-08-21;32;Hauts-de-France;20.56;27.24;23.9
2020-08-29T00:00:00-32;2020-08-29;32;Hauts-de-France;11.98;17.32;14.65
2020-10-22T00:00:00-32;2020-10-22;32;Hauts-de-France;11.76;17.72;14.74
2020-10-29T00:00:00-32;2020-10-29;32;Hauts-de-France;9.62;14.32;11.97
2020-10-30T00:00:00-32;2020-10-30;32;Hauts-de-France;13.04;15.58;14.31
2020-11-02T00:00:00-32;2020-11-02;32;Hauts-de-France;12.14;18.74;15.44
2020-11-09T00:00:00-32;2020-11-09;32;Hauts-de-France;10.14;17.48;13.81
2020-11-11T00:00:00-32;2020-11-11;32;Hauts-de-France;8.54;12.84;10.69
2020-11-14T00:00:00-32;2020-11-14;32;Hauts-de-France;10.28;15.42;12.85
2020-11-27T00:00:00-32;2020-11-27;32;Hauts-de-France;3.44;8.18;5.81
2020-12-07T00:00:00-32;2020-12-07;32;Hauts-de-France;-1.84;3.16;0.66
2020-12-11T00:00:00-32;2020-12-11;32;Hauts-de-France;3.24;9.64;6.44
2020-12-12T00:00:00-32;2020-12-12;32;Hauts-de-France;6.52;9.72;8.12
2020-12-17T00:00:00-32;2020-12-17;32;Hauts-de-France;6.8;11.12;8.96
2020-12-21T00:00:00-32;2020-12-21;32;Hauts-de-France;5.16;13.6;9.38
2020-12-23T00:00:00-32;2020-12-23;32;Hauts-de-France;10.42;13.66;12.04
2020-12-25T00:00:00-32;2020-12-25;32;Hauts-de-France;1.48;5.94;3.71
2020-12-27T00:00:00-32;2020-12-27;32;Hauts-de-France;4.32;7.66;5.99
2021-01-12T00:00:00-32;2021-01-12;32;Hauts-de-France;4.68;9.12;6.9
2021-01-21T00:00:00-32;2021-01-21;32;Hauts-de-France;4.82;9.14;6.98
2021-01-29T00:00:00-32;2021-01-29;32;Hauts-de-France;8.52;10.32;9.42
2021-02-19T00:00:00-32;2021-02-19;32;Hauts-de-France;2.08;11.84;6.96
2021-02-22T00:00:00-32;2021-02-22;32;Hauts-de-France;8.26;14.52;11.39
2021-02-26T00:00:00-32;2021-02-26;32;Hauts-de-France;4.42;11.04;7.73
2021-03-05T00:00:00-32;2021-03-05;32;Hauts-de-France;2.28;6.6;4.44
2021-03-18T00:00:00-32;2021-03-18;32;Hauts-de-France;3.3;7.62;5.46
2021-03-22T00:00:00-32;2021-03-22;32;Hauts-de-France;1.14;9.1;5.12
2021-04-04T00:00:00-32;2021-04-04;32;Hauts-de-France;1.94;9.82;5.88
2021-04-06T00:00:00-32;2021-04-06;32;Hauts-de-France;-2.1;7.18;2.54
2021-04-09T00:00:00-32;2021-04-09;32;Hauts-de-France;1.48;14.5;7.99
2021-04-18T00:00:00-32;2021-04-18;32;Hauts-de-France;1.76;13.0;7.38
2021-05-09T00:00:00-32;2021-05-09;32;Hauts-de-France;10.76;24.16;17.46
2021-05-15T00:00:00-32;2021-05-15;32;Hauts-de-France;6.52;14.84;10.68
2021-05-20T00:00:00-32;2021-05-20;32;Hauts-de-France;6.08;16.0;11.04
2021-05-22T00:00:00-32;2021-05-22;32;Hauts-de-France;8.76;14.14;11.45
2021-05-25T00:00:00-32;2021-05-25;32;Hauts-de-France;7.58;14.2;10.89
2021-05-27T00:00:00-32;2021-05-27;32;Hauts-de-France;6.7;17.96;12.33
2021-05-30T00:00:00-32;2021-05-30;32;Hauts-de-France;9.0;20.68;14.84
2021-06-06T00:00:00-32;2021-06-06;32;Hauts-de-France;8.84;20.2;14.52
2021-06-11T00:00:00-32;2021-06-11;32;Hauts-de-France;12.08;21.02;16.55
2021-06-14T00:00:00-32;2021-06-14;32;Hauts-de-France;12.06;27.52;19.79
2021-06-23T00:00:00-32;2021-06-23;32;Hauts-de-France;11.72;16.18;13.95
2021-06-27T00:00:00-32;2021-06-27;32;Hauts-de-France;16.0;21.82;18.91
2021-07-19T00:00:00-32;2021-07-19;32;Hauts-de-France;15.32;27.6;21.46
2021-10-03T00:00:00-32;2021-10-03;32;Hauts-de-France;11.36;15.14;13.25
2021-10-07T00:00:00-32;2021-10-07;32;Hauts-de-France;6.62;17.42;12.02
2021-10-09T00:00:00-32;2021-10-09;32;Hauts-de-France;7.1;17.94;12.52
2021-10-15T00:00:00-32;2021-10-15;32;Hauts-de-France;7.0;16.42;11.71
2021-10-23T00:00:00-32;2021-10-23;32;Hauts-de-France;6.56;14.62;10.59
2021-10-26T00:00:00-32;2021-10-26;32;Hauts-de-France;7.82;14.44;11.13
2021-10-28T00:00:00-32;2021-10-28;32;Hauts-de-France;6.8;17.0;11.9
2021-08-05T00:00:00-32;2021-08-05;32;Hauts-de-France;12.82;23.9;18.36
2021-08-24T00:00:00-32;2021-08-24;32;Hauts-de-France;13.36;22.62;17.99
2021-08-26T00:00:00-32;2021-08-26;32;Hauts-de-France;12.74;19.04;15.89
2018-03-17T00:00:00-32;2018-03-17;32;Hauts-de-France;-1.1;2.76;0.83
2018-03-18T00:00:00-32;2018-03-18;32;Hauts-de-France;-1.96;1.12;-0.42
2018-03-22T00:00:00-32;2018-03-22;32;Hauts-de-France;1.44;7.96;4.7
2018-03-23T00:00:00-32;2018-03-23;32;Hauts-de-France;3.76;7.74;5.75
2018-03-27T00:00:00-32;2018-03-27;32;Hauts-de-France;3.32;10.48;6.9
2018-03-29T00:00:00-32;2018-03-29;32;Hauts-de-France;2.36;10.84;6.6
2018-03-30T00:00:00-32;2018-03-30;32;Hauts-de-France;4.04;10.82;7.43
2018-04-08T00:00:00-32;2018-04-08;32;Hauts-de-France;9.2;19.96;14.58
2018-04-09T00:00:00-32;2018-04-09;32;Hauts-de-France;9.56;14.42;11.99
2018-04-25T00:00:00-32;2018-04-25;32;Hauts-de-France;9.72;14.76;12.24
2018-04-29T00:00:00-32;2018-04-29;32;Hauts-de-France;7.32;10.98;9.15
2018-05-01T00:00:00-32;2018-05-01;32;Hauts-de-France;4.96;12.64;8.8
2018-05-16T00:00:00-32;2018-05-16;32;Hauts-de-France;8.66;17.92;13.29
2018-05-24T00:00:00-32;2018-05-24;32;Hauts-de-France;12.72;22.0;17.36
2018-05-26T00:00:00-32;2018-05-26;32;Hauts-de-France;14.46;27.52;20.99
2018-06-15T00:00:00-32;2018-06-15;32;Hauts-de-France;9.42;21.26;15.34
2018-06-16T00:00:00-32;2018-06-16;32;Hauts-de-France;11.06;19.82;15.44
2018-06-18T00:00:00-32;2018-06-18;32;Hauts-de-France;14.1;19.44;16.77
2018-06-23T00:00:00-32;2018-06-23;32;Hauts-de-France;6.24;20.7;13.47
2018-07-01T00:00:00-32;2018-07-01;32;Hauts-de-France;18.06;31.6;24.83
2018-07-03T00:00:00-32;2018-07-03;32;Hauts-de-France;16.74;28.58;22.66
2018-07-06T00:00:00-32;2018-07-06;32;Hauts-de-France;13.58;27.3;20.44
2018-07-15T00:00:00-32;2018-07-15;32;Hauts-de-France;14.66;29.18;21.92
2018-12-15T00:00:00-32;2018-12-15;32;Hauts-de-France;-2.9;3.16;0.13
2018-12-30T00:00:00-32;2018-12-30;32;Hauts-de-France;3.88;9.66;6.77
2019-01-04T00:00:00-32;2019-01-04;32;Hauts-de-France;0.62;5.14;2.88
2019-01-17T00:00:00-32;2019-01-17;32;Hauts-de-France;2.06;5.96;4.01
2019-01-20T00:00:00-32;2019-01-20;32;Hauts-de-France;-0.56;3.04;1.24
2019-01-21T00:00:00-32;2019-01-21;32;Hauts-de-France;-4.94;4.04;-0.45
2019-01-22T00:00:00-32;2019-01-22;32;Hauts-de-France;-2.62;2.78;0.08
2019-01-25T00:00:00-32;2019-01-25;32;Hauts-de-France;-0.28;6.94;3.33
2019-02-05T00:00:00-32;2019-02-05;32;Hauts-de-France;2.1;6.76;4.43
2019-02-14T00:00:00-32;2019-02-14;32;Hauts-de-France;-0.0;11.48;5.74
2019-02-19T00:00:00-32;2019-02-19;32;Hauts-de-France;4.36;11.16;7.76
2016-08-31T00:00:00-32;2016-08-31;32;Hauts-de-France;12.42;25.0;18.71
2016-09-07T00:00:00-32;2016-09-07;32;Hauts-de-France;14.48;26.6;20.54
2016-09-23T00:00:00-32;2016-09-23;32;Hauts-de-France;11.36;21.16;16.26
2016-10-03T00:00:00-32;2016-10-03;32;Hauts-de-France;6.12;17.48;11.8
2016-10-12T00:00:00-32;2016-10-12;32;Hauts-de-France;3.46;12.4;7.93
2016-10-14T00:00:00-32;2016-10-14;32;Hauts-de-France;8.42;12.94;10.68
2016-10-19T00:00:00-32;2016-10-19;32;Hauts-de-France;7.54;13.38;10.46
2016-10-24T00:00:00-32;2016-10-24;32;Hauts-de-France;7.68;11.64;9.66
2016-11-01T00:00:00-32;2016-11-01;32;Hauts-de-France;5.02;15.28;10.15
2016-11-13T00:00:00-32;2016-11-13;32;Hauts-de-France;4.18;9.14;6.66
2016-11-15T00:00:00-32;2016-11-15;32;Hauts-de-France;8.38;13.38;10.88
2016-11-22T00:00:00-32;2016-11-22;32;Hauts-de-France;8.54;11.62;10.08
2016-11-28T00:00:00-32;2016-11-28;32;Hauts-de-France;1.58;5.72;3.65
2016-11-29T00:00:00-32;2016-11-29;32;Hauts-de-France;-2.48;3.46;0.49
2016-12-31T00:00:00-32;2016-12-31;32;Hauts-de-France;-2.98;-1.4;-2.19
2017-01-04T00:00:00-32;2017-01-04;32;Hauts-de-France;1.92;6.66;4.29
2017-01-08T00:00:00-32;2017-01-08;32;Hauts-de-France;2.68;7.22;4.95
2017-01-14T00:00:00-32;2017-01-14;32;Hauts-de-France;0.04;4.8;2.42
2017-01-17T00:00:00-32;2017-01-17;32;Hauts-de-France;-3.26;-0.14;-1.7
2017-01-22T00:00:00-32;2017-01-22;32;Hauts-de-France;-5.98;4.46;-0.76
2017-01-25T00:00:00-32;2017-01-25;32;Hauts-de-France;-2.16;-0.34;-1.25
2017-01-28T00:00:00-32;2017-01-28;32;Hauts-de-France;4.2;9.42;6.81
2017-02-03T00:00:00-32;2017-02-03;32;Hauts-de-France;6.96;11.08;9.02
2017-02-12T00:00:00-32;2017-02-12;32;Hauts-de-France;0.06;6.54;3.3
2017-06-09T00:00:00-32;2017-06-09;32;Hauts-de-France;14.16;19.54;16.85
2017-06-12T00:00:00-32;2017-06-12;32;Hauts-de-France;11.92;18.5;15.21
2017-06-17T00:00:00-32;2017-06-17;32;Hauts-de-France;12.02;25.48;18.75
2017-06-22T00:00:00-32;2017-06-22;32;Hauts-de-France;17.86;26.96;22.41
2017-06-27T00:00:00-32;2017-06-27;32;Hauts-de-France;14.64;24.64;19.64
2017-06-28T00:00:00-32;2017-06-28;32;Hauts-de-France;16.0;21.94;18.97
2017-07-01T00:00:00-32;2017-07-01;32;Hauts-de-France;13.76;21.56;17.66
2017-07-03T00:00:00-32;2017-07-03;32;Hauts-de-France;10.52;21.16;15.84
2017-07-15T00:00:00-32;2017-07-15;32;Hauts-de-France;11.34;22.8;17.07
2017-07-21T00:00:00-32;2017-07-21;32;Hauts-de-France;9.92;25.08;17.5
2017-07-27T00:00:00-32;2017-07-27;32;Hauts-de-France;15.2;20.9;18.05
2017-07-28T00:00:00-32;2017-07-28;32;Hauts-de-France;12.8;21.36;17.08
2017-07-29T00:00:00-32;2017-07-29;32;Hauts-de-France;17.18;25.22;21.2
2017-07-31T00:00:00-32;2017-07-31;32;Hauts-de-France;12.4;22.66;17.53
2017-08-06T00:00:00-32;2017-08-06;32;Hauts-de-France;9.76;21.56;15.66
2017-08-09T00:00:00-32;2017-08-09;32;Hauts-de-France;11.08;20.1;15.59
2017-08-11T00:00:00-32;2017-08-11;32;Hauts-de-France;12.96;21.46;17.21
2017-08-16T00:00:00-32;2017-08-16;32;Hauts-de-France;12.04;23.72;17.88
2017-08-22T00:00:00-32;2017-08-22;32;Hauts-de-France;15.34;23.34;19.34
2017-09-08T00:00:00-32;2017-09-08;32;Hauts-de-France;14.5;17.52;16.01
2017-09-17T00:00:00-32;2017-09-17;32;Hauts-de-France;5.98;16.2;11.09
2017-09-19T00:00:00-32;2017-09-19;32;Hauts-de-France;9.2;16.46;12.83
2017-09-20T00:00:00-32;2017-09-20;32;Hauts-de-France;7.06;17.82;12.44
2017-09-28T00:00:00-32;2017-09-28;32;Hauts-de-France;14.18;19.6;16.89
2017-09-29T00:00:00-32;2017-09-29;32;Hauts-de-France;13.54;22.76;18.15
2017-10-03T00:00:00-32;2017-10-03;32;Hauts-de-France;9.36;16.26;12.81
2017-10-09T00:00:00-32;2017-10-09;32;Hauts-de-France;8.3;17.46;12.88
2017-10-12T00:00:00-32;2017-10-12;32;Hauts-de-France;11.72;18.28;15.0
2017-10-16T00:00:00-32;2017-10-16;32;Hauts-de-France;14.6;24.8;19.7
2017-10-20T00:00:00-32;2017-10-20;32;Hauts-de-France;11.02;15.84;13.43
2017-10-21T00:00:00-32;2017-10-21;32;Hauts-de-France;10.12;17.12;13.62
2017-10-28T00:00:00-32;2017-10-28;32;Hauts-de-France;4.94;14.3;9.62
2017-10-31T00:00:00-32;2017-10-31;32;Hauts-de-France;2.36;13.0;7.68
2017-11-09T00:00:00-32;2017-11-09;32;Hauts-de-France;4.78;11.54;8.16
2017-11-10T00:00:00-32;2017-11-10;32;Hauts-de-France;8.52;13.06;10.79
2017-11-17T00:00:00-32;2017-11-17;32;Hauts-de-France;6.08;10.9;8.49
2017-11-24T00:00:00-32;2017-11-24;32;Hauts-de-France;6.64;10.82;8.73
2017-12-01T00:00:00-32;2017-12-01;32;Hauts-de-France;0.08;4.12;2.1
2017-12-24T00:00:00-32;2017-12-24;32;Hauts-de-France;8.14;9.36;8.75
